name,address,place_in_rating,average_rating,curl
Рок Паб,"Проспект Пятилеток 8, Санкт-Петербург 193318 Россия",0.6926829268292682,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8707932-Reviews-Rock_Pub-St_Petersburg_Northwestern_District.html
Ни В Одном Глазу,"переулок Ульяны Громовой, 4, Санкт-Петербург 191036 Россия",0.8620689655172413,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d17534710-Reviews-Ni_v_Odnom_Glazu-St_Petersburg_Northwestern_District.html
Gypsies & Jews,"Ломоносова, 14, Санкт-Петербург 191002 Россия",0.7474150664697193,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d17168829-Reviews-Gypsies_Jews-St_Petersburg_Northwestern_District.html
Blackberry,"Гражданский проспект, 41 лит Б, Санкт-Петербург 195220 Россия",0.0,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d6117806-Reviews-Blackberry-St_Petersburg_Northwestern_District.html
Bazin,"Некрасова, 22, Санкт-Петербург 191014 Россия",0.7518463810930576,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15117326-Reviews-Bazin-St_Petersburg_Northwestern_District.html
Формула Кино,"Приморский проспект, 72, Санкт-Петербург 197374 Россия",0.7695716395864106,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8346500-Reviews-Formula_Kino-St_Petersburg_Northwestern_District.html
BLOODY MARY Bar & Grill,"Мучной переулок, 9/27, Санкт-Петербург 191023 Россия",0.004878048780487805,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d10437838-Reviews-BLOODY_MARY_Bar_Grill-St_Petersburg_Northwestern_District.html
Dahongpao,"Маяковского, 40, Санкт-Петербург 191014 Россия",0.574468085106383,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15221890-Reviews-Dahongpao-St_Petersburg_Northwestern_District.html
Бар СПБ,"Караванная ул., 26/28, Санкт-Петербург 191014 Россия",0.7680945347119645,"3,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d12250624-Reviews-Bar_SPB-St_Petersburg_Northwestern_District.html
Ресто-паб ГУСТАВ,"Чапаева, 18А, Санкт-Петербург 197101 Россия",0.0,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15768976-Reviews-Resto_Pub_Gustav-St_Petersburg_Northwestern_District.html
Севен,"Невский проспект, 138, Санкт-Петербург 191036 Россия",0.7710487444608567,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8349537-Reviews-Seven-St_Petersburg_Northwestern_District.html
Korm,"пр. Литейный, 36, Санкт-Петербург Россия",0.7170731707317073,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8820682-Reviews-Korm-St_Petersburg_Northwestern_District.html
Blackberry Lounge Bar,"Малодетскосельский пр., 28, Санкт-Петербург 190013 Россия",0.842741935483871,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d11893176-Reviews-Blackberry_Lounge_Bar-St_Petersburg_Northwestern_District.html
MadLabBar,"ул. Достоевского, 19/21М, Санкт-Петербург 191119 Россия",0.7112676056338029,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d12621676-Reviews-MadLabBar-St_Petersburg_Northwestern_District.html
Республика Кофе,"Лермонтовский пр., д. 54, Санкт-Петербург 190103 Россия",0.7828125,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d3764588-Reviews-Republic_Of_Coffee-St_Petersburg_Northwestern_District.html
КроликБар,"Беговая, 3, Санкт-Петербург 197374 Россия",0.7917282127031019,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d6119117-Reviews-Krolikbar-St_Petersburg_Northwestern_District.html
