latitude,longitude,name
30.459392,59.921809,Рок Паб
30.361224,59.934393,Ни В Одном Глазу
30.338479,59.927874,Gypsies & Jews
30.398567,60.012246,Blackberry
30.356202,59.938991,Bazin
30.209894,59.981708,Формула Кино
30.323459,59.929524,BLOODY MARY Bar & Grill
30.354963,59.940898,Dahongpao
30.341416,59.934308,Бар СПБ
30.32972,59.96326,Ресто-паб ГУСТАВ
30.368195,59.930025,Севен
30.348764,59.939424,Korm
30.322947,59.912102,Blackberry Lounge Bar
30.346555,59.923311,MadLabBar
30.298809,59.910356,Республика Кофе
30.205546,59.986133,КроликБар
30.240796,59.860062,Шашлычная
30.347983,59.926472,Бар.РУ Дисконт
30.353615,59.918995,Оазис
30.327923,59.930751,Дубай
30.307684,59.958827,Cloudy Bay Lounge
30.37919,59.82741,Maximilian Hall
30.347309,59.929276,Хоп Хоуп
30.33255,59.958084,Шале
30.318608,59.914155,Eurasia
29.973853,60.090836,Easy bar
30.393411,59.859894,Голос
30.330978,59.846924,Зис
30.340976,59.926508,Эпсилон
30.360505,59.94326,Аверс паб
30.343653,59.972938,Рис на Бис!
30.382811,59.866152,Ресторан VSЁХОРОШО!
30.316326,59.928293,"Гастробар ""KoraDuba"""
30.347022,59.938076,Фарш и бочка
30.324645,59.932522,FULL HOUSE Restobar
30.421034,60.007708,Ресторан VSЁХОРОШО!
30.351531,59.935773,Al Capone Bar
30.336017,59.92309,КвакИнн
30.321042,59.932378,Чешская пивоварня Старгород
30.357074,59.938662,Цветочки
30.345818,59.938072,Бар Pinch
30.342593,59.927175,Mr. Rowdy & Co
30.357092,59.938987,Redrum
30.348755,59.929033,Эл Копитас
30.322399,59.930011,ART LAB MEDOVARUS
30.34447,59.930327,Punk Brew
30.331193,60.052703,Пиворама
30.361152,59.925101,НЕКАНОН
30.359697,59.936039,Fillin' Good
30.344677,59.832118,"Бар ""Дружба"""
30.342692,59.93708,Лет Ит Бар
30.322066,59.936562,Бельгийская брассерия Палм
30.332271,59.927757,Barking Raccoon
30.345683,59.932441,Сайгон
30.342782,59.936792,Пурга
30.348684,59.921958,Рюмочная на Боровой
30.350498,59.932644,Ягер рестопаб
30.324447,59.939555,Jazz Bar 48 Chairs
30.320018,59.931436,Warszawa Bar
30.346438,59.942588,"Мама, Я Не Пил"
30.344192,59.928668,TeslaBar
30.32186,59.975297,Big Wine Freaks
30.327906,59.858796,Tangiers Lounge
30.326774,59.932315,The Playground
30.20737,59.999125,Санни Джорджиа
30.257442,59.877226,Pub Black Beer
30.355816,59.931242,Бир Хаус
30.308897,59.934934,HI SO TERRACE
30.370414,59.938018,Пирс 8/4
30.257343,59.851245,Вместе
30.370791,59.927797,Хука Плейс
30.30428,59.959399,Дискавери Бар-ресторан
29.992816,59.859926,Коркули
30.335451,59.935651,Cuba libre
30.347309,59.929276,SПБ
30.294937,60.033036,Модильяни
30.412805,59.955755,Beer & Cakes
30.327519,60.044424,Толстый Фраер
30.465186,59.919581,"Ирландский паб ""Дублин"""
30.284562,59.947108,WINEPROJECTOR bar
30.413165,59.953854,Заходи Генацвале
30.345189,59.931576,Джаз Бар
